|AHWE|	Rank:0	|Wins:17|Loses:6
|ANDY|	Rank:5	|Wins:26|Loses:20
|ASTRO|	Rank:3	|Wins:22|Loses:16
|CASPER|	Rank:6	|Wins:4|Loses:1
|CBATS|	Rank:50	|Wins:0|Loses:1
|DARYL|	Rank:42	|Wins:2|Loses:1
|DOBBY|	Rank:27	|Wins:3|Loses:9
|ECTH|	Rank:4	|Wins:56|Loses:48
|ENUMA|	Rank:14	|Wins:6|Loses:5
|FALCON|	Rank:17	|Wins:2|Loses:3
|FREEDOOM|	Rank:40	|Wins:1|Loses:2
|GANNICUS|	Rank:13	|Wins:11|Loses:5
|GLUTE|	Rank:43	|Wins:3|Loses:1
|GOSPURE|	Rank:33	|Wins:3|Loses:5
|GRENDAL|	Rank:18	|Wins:4|Loses:6
|HALET|	Rank:32	|Wins:4|Loses:1
|HASQ|	Rank:10	|Wins:0|Loses:1
|HITMACHINE|	Rank:38	|Wins:0|Loses:4
|IMPERIALIST|	Rank:30	|Wins:3|Loses:0
|JASKIER|	Rank:20	|Wins:0|Loses:0
|JEDGAR|	Rank:45	|Wins:0|Loses:4
|JONES|	Rank:46	|Wins:0|Loses:4
|KIDD|	Rank:11	|Wins:0|Loses:1
|KURDISH|	Rank:15	|Wins:1|Loses:1
|LAU|	Rank:36	|Wins:3|Loses:3
|LEV|	Rank:7	|Wins:4|Loses:4
|LOLO|	Rank:12	|Wins:9|Loses:14
|LUXUS|	Rank:28	|Wins:12|Loses:4
|MAKA|	Rank:39	|Wins:4|Loses:6
|MATHIAS|	Rank:9	|Wins:1|Loses:1
|MEWTWO|	Rank:47	|Wins:0|Loses:1
|MISHA|	Rank:23	|Wins:30|Loses:17
|MUSTAFA|	Rank:34	|Wins:1|Loses:9
|NATHAN|	Rank:29	|Wins:3|Loses:3
|NINKA|	Rank:25	|Wins:0|Loses:1
|NOOB4LIFE|	Rank:8	|Wins:0|Loses:1
|OTTO|	Rank:2	|Wins:44|Loses:76
|PIKACHU|	Rank:21	|Wins:4|Loses:0
|RAINY|	Rank:24	|Wins:0|Loses:1
|RAKI|	Rank:19	|Wins:1|Loses:4
|SAURON|	Rank:22	|Wins:15|Loses:4
|SCARECROW|	Rank:41	|Wins:2|Loses:2
|SHINODA|	Rank:48	|Wins:0|Loses:3
|TARANTULA|	Rank:51	|Wins:0|Loses:3
|TEMPT|	Rank:35	|Wins:4|Loses:0
|THORIN|	Rank:26	|Wins:0|Loses:0
|URBY|	Rank:49	|Wins:0|Loses:2
|VIOLENCE|	Rank:16	|Wins:0|Loses:1
|VITO|	Rank:44	|Wins:0|Loses:1
|YODA|	Rank:31	|Wins:0|Loses:1
|YUSUF|	Rank:1	|Wins:14|Loses:9
|ZORBA|	Rank:37	|Wins:3|Loses:6
